lat,lon,alt,date,device,os,version
33.7774085999,-84.3863983154,311.900146484,2012-11-16 02:57:04,"iPhone4,1",6.0.1,1.1
33.778465271,-84.3980941772,303,2012-11-16 07:13:04,"iPhone4,1",6.0.1,1.1
33.7763748169,-84.3844985962,314.61239624,2012-11-16 07:17:20,"iPhone4,1",6.0.1,1.1
33.7743797302,-84.3796386719,299.498779297,2012-11-16 08:06:24,"iPhone4,1",6.0.1,1.1
33.7766494751,-84.3873748779,313.444335938,2012-11-16 16:12:48,"iPhone4,1",6.0.1,1.1
33.7770996094,-84.3968429565,300.7940979,2012-11-16 16:29:52,"iPhone4,1",6.0.1,1.1
33.7756690979,-84.3799362183,297.925018311,2012-11-16 23:57:52,"iPhone4,1",6.0.1,1.1
33.7788505554,-84.3841552734,311.317504883,2012-11-17 00:14:56,"iPhone4,1",6.0.1,1.1
33.7751655579,-84.3800048828,298.240020752,2012-11-17 00:51:12,"iPhone4,1",6.0.1,1.1
33.7854728699,-84.3997268677,303,2012-11-17 03:05:36,"iPhone4,1",6.0.1,1.1
33.7742843628,-84.3800735474,303,2012-11-17 04:54:24,"iPhone4,1",6.0.1,1.1
33.7768554688,-84.3898544312,303,2012-11-17 19:56:48,"iPhone4,1",6.0.1,1.1
33.7773551941,-84.3976135254,296.499420166,2012-11-17 20:07:28,"iPhone4,1",6.0.1,1.1
33.7762298584,-84.3848114014,303,2012-11-17 23:36:32,"iPhone4,1",6.0.1,1.1
